constituentid,name,image_count
1791,"Camille Pissarro",66
1881,"John Sloan",66
7345,"Rose Campbell-Gerke",66
505,"Paul P. Rosenberg & Co.",66
317,"W. Averell Harriman Foundation",66
485,"Professional Art Group I",66
15044,"Edward Henderson",66
6911,"Tom Marioni",66
10698,"Mrs. Elisabeth R. Zogbaum",66
26455,"Peter Pettengill",66
13567,"Brassaï",66
38896,"Pascal Vincent-Bertillon",66
40827,"Ursula Schulz-Dornburg",66
10205,"Etienne Bignou",65
2373,"Alfred Bendiner",65
5029,"Jean Morin",65
7654,"Walter Hochstrasser",65
31381,"Luhring Augustine",65
33108,"Stephen Ongpin Fine Art",65
905,"Whitney Museum of American Art",64
18556,"Kraushaar Galleries",64
